,WG,period,score,topic_id,topic_title,tpsum,share,tscore
1135,2,AR4,5.84005333469901,9178,"{rate, respir, higher}",12.82702303768422,0.4552929637330229,503.934520185989
1136,3,AR4,1.54236848916865,9178,"{rate, respir, higher}",12.82702303768422,0.12024368278106,503.934520185989
1137,1,AR4,5.74412232516432,9131,"{uncertainti, estim, paramet}",12.588683191674962,0.4562925476560546,494.923428091185
1138,2,AR4,5.46304757463689,9131,"{uncertainti, estim, paramet}",12.588683191674962,0.43396497405301815,494.923428091185
1139,3,AR4,1.38151329187375,9131,"{uncertainti, estim, paramet}",12.588683191674962,0.10974247829092723,494.923428091185
1140,1,AR4,2.36639813238749,9171,"{research, social, issu}",18.428621643111253,0.12840885109126246,1424.5535416248401
1141,2,AR4,12.349946053041696,9171,"{research, social, issu}",18.428621643111253,0.6701502853664691,1424.5535416248401
1142,3,AR4,3.712277457682069,9171,"{research, social, issu}",18.428621643111253,0.20144086354226845,1424.5535416248401
1143,1,AR4,3.29322369959339,9127,"{air, pollut, qualiti}",8.29229830415859,0.397142454214634,417.109417216617
1144,2,AR4,3.63331991394594,9127,"{air, pollut, qualiti}",8.29229830415859,0.4381559587797063,417.109417216617
1145,3,AR4,1.36575469061926,9127,"{air, pollut, qualiti}",8.29229830415859,0.16470158700565965,417.109417216617
1146,1,AR4,2.16014155966058,9172,"{fertil, treatment, nitrogen}",6.823700326512011,0.3165645406888426,834.086807128792
1147,2,AR4,3.0862505255130803,9172,"{fertil, treatment, nitrogen}",6.823700326512011,0.4522840068931693,834.086807128792
1148,3,AR4,1.57730824133835,9172,"{fertil, treatment, nitrogen}",6.823700326512011,0.231151452417988,834.086807128792
1149,1,AR4,11.480746629857599,9211,"{data, method, use}",22.496330876295108,0.5103386277961941,1240.87875029935
1150,2,AR4,8.25971280435763,9211,"{data, method, use}",22.496330876295108,0.36715822014607175,1240.87875029935
1151,3,AR4,2.75587144207988,9211,"{data, method, use}",22.496330876295108,0.12250315205773415,1240.87875029935
1152,1,AR4,0.8671646443631941,9176,"{popul, size, surviv}",9.51225759679903,0.09116286386682837,515.362305247115
1153,2,AR4,7.92758953498132,9176,"{popul, size, surviv}",9.51225759679903,0.8334077850928925,515.362305247115
1154,3,AR4,0.717503417454516,9176,"{popul, size, surviv}",9.51225759679903,0.07542935104027912,515.362305247115
1155,1,AR4,0.29311769697336604,9136,"{servic, ecosystem, biodivers}",1.4686504386167312,0.1995830248411208,150.40647419053602
1156,2,AR4,0.992921441667053,9136,"{servic, ecosystem, biodivers}",1.4686504386167312,0.676077448764629,150.40647419053602
1157,3,AR4,0.182611299976312,9136,"{servic, ecosystem, biodivers}",1.4686504386167312,0.12433952639425007,150.40647419053602
1158,1,AR4,11.5987980399913,9183,"{sea, level, rise}",21.880978194961962,0.5300859009430342,792.037850817832
1159,2,AR4,9.53525396432896,9183,"{sea, level, rise}",21.880978194961962,0.4357782307248232,792.037850817832
1160,3,AR4,0.7469261906417041,9183,"{sea, level, rise}",21.880978194961962,0.03413586833214256,792.037850817832
1161,1,AR4,10.0083155089592,9133,"{snow, cover, winter}",18.817656695325066,0.531857694664267,478.368196468532
